q2,     ge,     ge-err, gm,     gm-err 
0.0038, 0.9894, 0.0019, 2.7646, 0.0053 
0.0040, 0.9880, 0.0017, 2.7606, 0.0048 
0.0042, 0.9877, 0.0023, 2.7600, 0.0065 
0.0044, 0.9881, 0.0019, 2.7612, 0.0054 
0.0046, 0.9860, 0.0017, 2.7555, 0.0048 
0.0048, 0.9842, 0.0018, 2.7505, 0.0052 
0.0050, 0.9869, 0.0017, 2.7580, 0.0046 
0.0053, 0.9865, 0.0016, 2.7571, 0.0046 
0.0055, 0.9844, 0.0018, 2.7511, 0.0051 
0.0057, 0.9841, 0.0016, 2.7505, 0.0046 
0.0059, 0.9848, 0.0016, 2.7523, 0.0046 
0.0062, 0.9815, 0.0016, 2.7432, 0.0045 
0.0064, 0.9807, 0.0016, 2.7412, 0.0044 
0.0066, 0.9817, 0.0015, 2.7441, 0.0043 
0.0069, 0.9785, 0.0017, 2.7352, 0.0048 
0.0071, 0.9791, 0.0017, 2.7370, 0.0049 
0.0074, 0.9792, 0.0016, 2.7372, 0.0045 
0.0077, 0.9770, 0.0016, 2.7311, 0.0044 
0.0079, 0.9767, 0.0016, 2.7305, 0.0044 
0.0082, 0.9764, 0.0017, 2.7297, 0.0047 
0.0084, 0.9745, 0.0016, 2.7246, 0.0044 
0.0087, 0.9743, 0.0016, 2.7239, 0.0044 
0.0090, 0.9741, 0.0016, 2.7234, 0.0044 
0.0093, 0.9712, 0.0017, 2.7156, 0.0046 
0.0095, 0.9716, 0.0015, 2.7167, 0.0042 
0.0098, 0.9730, 0.0016, 2.7207, 0.0046 
0.0101, 0.9703, 0.0015, 2.7134, 0.0043 
0.0101, 0.9748, 0.0016, 2.7258, 0.0044 
0.0104, 0.9701, 0.0016, 2.7127, 0.0045 
0.0107, 0.9697, 0.0016, 2.7119, 0.0044 
0.0110, 0.9680, 0.0015, 2.7073, 0.0042 
0.0111, 0.9673, 0.0018, 2.7052, 0.0049 
0.0113, 0.9683, 0.0015, 2.7082, 0.0041 
0.0113, 0.9683, 0.0015, 2.7082, 0.0043 
0.0116, 0.9667, 0.0016, 2.7037, 0.0044 
0.0116, 0.9668, 0.0015, 2.7039, 0.0041 
0.0119, 0.9659, 0.0015, 2.7015, 0.0043 
0.0122, 0.9664, 0.0015, 2.7033, 0.0041 
0.0122, 0.9632, 0.0015, 2.6942, 0.0043 
0.0125, 0.9646, 0.0015, 2.6981, 0.0043 
0.0128, 0.9640, 0.0015, 2.6967, 0.0041 
0.0128, 0.9655, 0.0015, 2.7007, 0.0043 
0.0129, 0.9643, 0.0018, 2.6974, 0.0051 
0.0129, 0.9663, 0.0016, 2.7029, 0.0046 
0.0132, 0.9643, 0.0017, 2.6975, 0.0047 
