q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0038, 0.9892, 0.0019, 2.7641, 0.0055 			      |	0.0038, 0.9873, 0.0019, 2.7586, 0.0054 
0.0040, 0.9878, 0.0017, 2.7601, 0.0049 			      |	0.0040, 0.9858, 0.0017, 2.7546, 0.0049 
0.0042, 0.9875, 0.0023, 2.7594, 0.0067 			      |	0.0042, 0.9856, 0.0023, 2.7540, 0.0066 
0.0044, 0.9879, 0.0019, 2.7606, 0.0056 			      |	0.0044, 0.9860, 0.0019, 2.7552, 0.0056 
0.0046, 0.9858, 0.0017, 2.7549, 0.0050 			      |	0.0046, 0.9839, 0.0017, 2.7494, 0.0049 
0.0048, 0.9840, 0.0018, 2.7499, 0.0053 			      |	0.0048, 0.9821, 0.0018, 2.7444, 0.0053 
0.0050, 0.9867, 0.0017, 2.7574, 0.0048 			      |	0.0050, 0.9847, 0.0016, 2.7520, 0.0048 
0.0053, 0.9863, 0.0016, 2.7565, 0.0048 			      |	0.0053, 0.9844, 0.0016, 2.7510, 0.0047 
0.0055, 0.9842, 0.0018, 2.7505, 0.0053 			      |	0.0055, 0.9822, 0.0018, 2.7451, 0.0053 
0.0057, 0.9839, 0.0016, 2.7499, 0.0048 			      |	0.0057, 0.9820, 0.0016, 2.7445, 0.0047 
0.0059, 0.9846, 0.0016, 2.7517, 0.0048 			      |	0.0059, 0.9826, 0.0016, 2.7463, 0.0048 
0.0062, 0.9813, 0.0016, 2.7426, 0.0048 			      |	0.0062, 0.9793, 0.0016, 2.7372, 0.0047 
0.0064, 0.9805, 0.0016, 2.7407, 0.0047 			      |	0.0064, 0.9786, 0.0016, 2.7352, 0.0046 
0.0066, 0.9815, 0.0015, 2.7436, 0.0045 			      |	0.0066, 0.9796, 0.0015, 2.7381, 0.0045 
0.0069, 0.9783, 0.0017, 2.7346, 0.0050 			      |	0.0069, 0.9764, 0.0017, 2.7292, 0.0050 
0.0071, 0.9789, 0.0017, 2.7364, 0.0051 			      |	0.0071, 0.9770, 0.0017, 2.7310, 0.0051 
0.0074, 0.9790, 0.0016, 2.7367, 0.0048 			      |	0.0074, 0.9770, 0.0016, 2.7313, 0.0047 
0.0077, 0.9768, 0.0016, 2.7306, 0.0047 			      |	0.0077, 0.9748, 0.0016, 2.7252, 0.0047 
0.0079, 0.9765, 0.0016, 2.7299, 0.0047 			      |	0.0079, 0.9746, 0.0016, 2.7245, 0.0047 
